id,Channel,Partner_Provided,UGC,Channel_id,Label,AssetChannelID,Label2,CMS,client_youtube_shares
900,Channel to be confirmed,PawanJalan,PawanJalanUGC,Channel to be confirmed,PAJ,Channel to be confirmed,PAJ,ND Kids,30
901,Farhad Humayun & Overload Official,overloadvideos,overloadvideosUGC,mhHrdnKgeiV27LCa7VbEPA,OLV,UCmhHrdnKgeiV27LCa7VbEPA,OLV,ND Kids,30
902,Channel to be confirmed,ND-PAK,ND-PAKUGC,Channel to be confirmed,NDPAK2,Channel to be confirmed,NDPAK2,ND Kids,30
903,FilmKRAFT,FilmKraft,FilmKraftUGC,t5A35uhB3dVf-KFGCOyqtA,DIGIFK,UCt5A35uhB3dVf-KFGCOyqtA,DIGIFK,ND Kids,30
904,Channel to be confirmed,RuskMedia,RuskMediaUGC,Channel to be confirmed,RUME,Channel to be confirmed,RUME,ND Kids,30
905,Channel to be confirmed,HumMasala,HumMasalaUGC,Channel to be confirmed,HMR,Channel to be confirmed,HMR,ND Kids,30
906,Channel to be confirmed,Enter10-Tamil,Enter10-TamilUGC,Channel to be confirmed,ENT10T,Channel to be confirmed,ENT10T,ND Kids,30
907,Channel to be confirmed,blaack&whitefilms,blaack&whitefilmsUGC,Channel to be confirmed,BWCF,Channel to be confirmed,BWCF,ND Kids,30
908,Channel to be confirmed,Embibe,EmbibeUGC,Channel to be confirmed,EMB,Channel to be confirmed,EMB,ND Kids,30
909,Channel to be confirmed,MobileMedia,MobileMediaUGC,Channel to be confirmed,MMARIHASG,Channel to be confirmed,MMARIHASG,ND Kids,30
910,Channel to be confirmed,MobileMedia,MobileMediaUGC,Channel to be confirmed,MMARIHADD,Channel to be confirmed,MMARIHADD,ND Kids,30
911,Channel to be confirmed,SandeepGawargur,SandeepGawargurUGC,Channel to be confirmed,SSG,Channel to be confirmed,SSG,ND Kids,30
912,Channel to be confirmed,MobileMedia,MobileMediaUGC,Channel to be confirmed,MMARIHAMJ,Channel to be confirmed,MMARIHAMJ,ND Kids,30
913,Channel to be confirmed,MobileMedia,MobileMediaUGC,Channel to be confirmed,MMDZSP,Channel to be confirmed,MMDZSP,ND Kids,30
914,Channel to be confirmed,CymbalsArts,CymbalsArtsUGC,Channel to be confirmed,JOY,Channel to be confirmed,JOY,ND Kids,30
915,Channel to be confirmed,MobileMedia,MobileMediaUGC,Channel to be confirmed,MMARIHAGS,Channel to be confirmed,MMARIHAGS,ND Kids,30
916,Rajlaxmi,TNDM-Rajlax,TNDM-RajlaxUGC,q_7HCsiy115mre6OBH_dAQ,TNDMRL,UCq_7HCsiy115mre6OBH_dAQ,TNDMRL,ND Kids,30
917,Channel to be confirmed,Vista,VistaUGC,Channel to be confirmed,VIST,Channel to be confirmed,VIST,ND Kids,30
918,HKC Music,HammadChaudhry,HammadChaudhryUGC,AWHZ6r6if9yniZqoEltGNg,HKCE,UCAWHZ6r6if9yniZqoEltGNg,HKCE,ND Kids,30
919,Channel to be confirmed,BahubaliProduction,BahubaliProductionUGC,Channel to be confirmed,BBP,Channel to be confirmed,BBP,ND Kids,30
920,Channel to be confirmed,KiranFilm,KiranFilmUGC,Channel to be confirmed,KFV,Channel to be confirmed,KFV,ND Kids,30
921,Nirvana Kannada,ShreyaEnt,ShreyaEntUGC,M5EUWQRiUAJSkUlOnZOdcA,SHYENT,UCM5EUWQRiUAJSkUlOnZOdcA,SHYENT,ND Kids,30
922,Channel to be confirmed,ManojGupta,ManojGuptaUGC,Channel to be confirmed,MKG,Channel to be confirmed,MKG,ND Kids,30
923,Channel to be confirmed,DhruvKamani,DhruvKamaniUGC,Channel to be confirmed,DPK,Channel to be confirmed,DPK,ND Kids,30
924,Channel to be confirmed,Vidhyasagar,VidhyasagarUGC,Channel to be confirmed,VSG,Channel to be confirmed,VSG,ND Kids,30
925,Channel to be confirmed,DaminiBhasin,DaminiBhasinUGC,Channel to be confirmed,MMI2,Channel to be confirmed,MMI2,ND Kids,30
926,Channel to be confirmed,SashankKanagala,SashankKanagalaUGC,Channel to be confirmed,SKA,Channel to be confirmed,SKA,ND Kids,30
927,Filmy Fiction,Prasun-Vedd,Prasun-VeddUGC,_mtLHg_BlxwOTrbXt8ju8w,POTR,UC_mtLHg_BlxwOTrbXt8ju8w,POTR,ND Kids,30
928,Channel to be confirmed,MobileMedia,MobileMediaUGC,Channel to be confirmed,MMARIHAAM,Channel to be confirmed,MMARIHAAM,ND Kids,30
929,Channel to be confirmed,MobileMedia,MobileMediaUGC,Channel to be confirmed,MMARIHASK,Channel to be confirmed,MMARIHASK,ND Kids,30
930,Channel to be confirmed,SahilJagtiani,SahilJagtianiUGC,Channel to be confirmed,SSJ,Channel to be confirmed,SSJ,ND Kids,30
931,Channel to be confirmed,KuldeepKhatri,KuldeepKhatriUGC,Channel to be confirmed,SSDN,Channel to be confirmed,SSDN,ND Kids,30
932,Channel to be confirmed,MobileMedia,MobileMediaUGC,Channel to be confirmed,ARIHAD,Channel to be confirmed,ARIHAD,ND Kids,30
933,Channel to be confirmed,MobileMedia,MobileMediaUGC,Channel to be confirmed,MMARIHAT,Channel to be confirmed,MMARIHAT,ND Kids,30
934,Channel to be confirmed,AffiliateVia,AffiliateViaUGC,Channel to be confirmed,AFFV,Channel to be confirmed,AFFV,ND Kids,30
935,Channel to be confirmed,NDSPL,NDSPL UGC,Channel to be confirmed,DZ,Channel to be confirmed,DZ,ND Kids,30
936,Channel to be confirmed,ND-PAK,ND-PAKUGC,Channel to be confirmed,NDPAK,Channel to be confirmed,NDPAK,ND Kids,30
937,Channel to be confirmed,ZeeStudios,ZeeStudiosUGC,Channel to be confirmed,DIGIZS,Channel to be confirmed,DIGIZS,ND Kids,30
938,Channel to be confirmed,NDSPL,NDSPL UGC,Channel to be confirmed,NDSPL,Channel to be confirmed,NDSPL,ND Kids,30
939,Channel to be confirmed,ReenaSingh,ReenaSinghUGC,Channel to be confirmed,MAAYA,Channel to be confirmed,MAAYA,ND Kids,30
940,Channel to be confirmed,GopalMishra,GopalMishraUGC,Channel to be confirmed,GOPM,Channel to be confirmed,GOPM,ND Kids,30
941,Playground Digital Cinema,Playground,PlaygroundUGC,h0GPOWRyauQXSP1w-izY7g,PGDC,UCh0GPOWRyauQXSP1w-izY7g,PGDC,ND Kids,30
942,Channel to be confirmed,TempUnknown,TempUnknownUGC,Channel to be confirmed,PZ,Channel to be confirmed,PZ,ND Kids,30
943,Channel to be confirmed,AksharCom,AksharComUGC,Channel to be confirmed,LNB,Channel to be confirmed,LNB,ND Kids,30
944,Channel to be confirmed,ManojVishwakarma,ManojVishwakarmaUGC,Channel to be confirmed,MVK,Channel to be confirmed,MVK,ND Kids,30
945,Channel to be confirmed,Divine,DivineUGC,Channel to be confirmed,DIV,Channel to be confirmed,DIV,ND Kids,30
946,Channel to be confirmed,RDC,RDCUGC,Channel to be confirmed,RDCM,Channel to be confirmed,RDCM,ND Kids,30
947,Channel to be confirmed,Vcreate,VcreateUGC,Channel to be confirmed,VDP,Channel to be confirmed,VDP,ND Kids,30
948,Channel to be confirmed,MantricMusic,MantricMusicUGC,Channel to be confirmed,SJMM,Channel to be confirmed,SJMM,ND Kids,30
949,Channel to be confirmed,ETM,ETMUGC,Channel to be confirmed,ETM,Channel to be confirmed,ETM,ND Kids,30
950,Channel to be confirmed,RupeshStudio,RupeshStudioUGC,Channel to be confirmed,RUP,Channel to be confirmed,RUP,ND Kids,30
951,Channel to be confirmed,MobileMedia,MobileMediaUGC,Channel to be confirmed,MMARIHAN,Channel to be confirmed,MMARIHAN,ND Kids,30
952,Channel to be confirmed,TubersStudio,TubersStudioUGC,Channel to be confirmed,TBS,Channel to be confirmed,TBS,ND Kids,30
953,Channel to be confirmed,MobileMedia,MobileMediaUGC,Channel to be confirmed,MMARIHAP,Channel to be confirmed,MMARIHAP,ND Kids,30
954,Channel to be confirmed,Republicofbrown,RepublicofbrownUGC,Channel to be confirmed,RBR,Channel to be confirmed,RBR,ND Kids,30
955,Channel to be confirmed,Jaaju,JaajuUGC,Channel to be confirmed,JMI,Channel to be confirmed,JMI,ND Kids,30
956,Channel to be confirmed,OgamadamTV,OgamadamTVUGC,Channel to be confirmed,OGM,Channel to be confirmed,OGM,ND Kids,30
957,Channel to be confirmed,HarmeetSinghArora,HarmeetSinghAroraUGC,Channel to be confirmed,HAS,Channel to be confirmed,HAS,ND Kids,30
958,Channel to be confirmed,MahmoodMatloob2,MahmoodMatloob2UGC,Channel to be confirmed,DULA,Channel to be confirmed,DULA,ND Kids,30
959,NirvanaTelugu,Virtumobile,VirtumobileUGC,ZTe0ZOQX67PkiLhIhqGLKQ,RAM,UCZTe0ZOQX67PkiLhIhqGLKQ,RAM,ND Kids,30
960,Channel to be confirmed,KRSEntertainment,KRSEntertainmentUGC,Channel to be confirmed,KRS,Channel to be confirmed,KRS,ND Kids,30
