id,Channel,partner_provided,ugc,Channel_id,Label,assetChannelID,Label2,CMS,client_youtube_shares
3223,Channel to be confirmed,HarshJodhi,HarshJodhiUGC,Channel to be confirmed,HRJ,Channel to be confirmed,HRJ,ND Music,30
3224,Channel to be confirmed,TNDM-3,TNDM-3UGC,Channel to be confirmed,TNDM3,Channel to be confirmed,TNDM3,ND Music,30
3225,Channel to be confirmed,HarshJodhi,HarshJodhiUGC,Channel to be confirmed,BOB,Channel to be confirmed,BOB,ND Music,30
3226,Channel to be confirmed,RedAnt,RedAntUGC,Channel to be confirmed,REDANT,Channel to be confirmed,REDANT,ND Music,30
3227,Channel to be confirmed,TNDM-4,TNDM-4,Channel to be confirmed,TNDMBNS,Channel to be confirmed,TNDMBNS,ND Music,30
3228,Channel to be confirmed,Aadishakti,AadishaktiUGC,Channel to be confirmed,AADI,Channel to be confirmed,AADI,ND Music,30
3229,Channel to be confirmed,Scream,ScreamUGC,Channel to be confirmed,AARN,Channel to be confirmed,AARN,ND Music,30
3230,Channel to be confirmed,Bilzmusic,BilzmusicUGC,Channel to be confirmed,BIL,Channel to be confirmed,BIL,ND Music,30
3231,Channel to be confirmed,Digibud,DigibudUGC,Channel to be confirmed,DIGIBUD,Channel to be confirmed,DIGIBUD,ND Music,30
3232,Channel to be confirmed,JigarMusic,JigarMusicUGC,Channel to be confirmed,JIGAR,Channel to be confirmed,JIGAR,ND Music,30
